Site,Month,TaxaGroup,BinWidth,BinMidpoint,Density,NormalizedDensity,Log10_BinMidpoint,Log10_Density,Log10_NormalizedDensity
Cabin,3,1,0.0064,0.0096,4,625,-2.0177,0.6021,2.7959
Cabin,3,1,0.0128,0.0192,5,390.625,-1.7167,0.699,2.5918
Cabin,3,1,0.0256,0.0384,3,117.1875,-1.4157,0.4771,2.0689
Cabin,3,1,0.0512,0.0768,4,78.125,-1.1146,0.6021,1.8928
Cabin,3,1,0.1024,0.1536,10,97.6563,-0.8136,1,1.9897
Cabin,3,1,0.2048,0.3072,1,4.8828,-0.5126,0,0.6887
Cabin,3,1,0.4096,0.6144,2,4.8828,-0.2115,0.301,0.6887
Cabin,3,1,0.8192,1.2288,2,2.4414,0.0895,0.301,0.3876
Cabin,3,1,1.6384,2.4576,1,0.6104,0.3905,0,-0.2144
Cabin,3,1,52.4288,78.6432,0.0027,0.0001,1.8957,-2.5631,-4.2827
Cabin,3,2,104.8576,157.2864,0.0046,0,2.1967,-2.3412,-4.3618
Cabin,3,2,419.4304,629.1456,0.0073,0,2.7988,-2.1371,-4.7598
Cabin,3,2,838.8608,1258.29,0.0082,0,3.0998,-2.086,-5.0097
Cabin,3,2,1677.72,2516.58,0.01,0,3.4008,-1.9988,-5.2235
Cabin,3,2,3355.44,5033.16,0.0009,0,3.7018,-3.0402,-6.566
Cabin,3,2,6710.89,10066.33,0.0018,0,4.0029,-2.7392,-6.566
Camp,3,1,0.0064,0.0096,17,2656.25,-2.0177,1.2304,3.4243
Camp,3,1,0.0128,0.0192,19,1484.375,-1.7167,1.2788,3.1715
Camp,3,1,0.0256,0.0384,48,1875,-1.4157,1.6812,3.273
Camp,3,1,0.0512,0.0768,38,742.1875,-1.1146,1.5798,2.8705
Camp,3,1,0.1024,0.1536,37,361.3281,-0.8136,1.5682,2.5579
Camp,3,1,0.2048,0.3072,25,122.0703,-0.5126,1.3979,2.0866
Camp,3,1,0.4096,0.6144,10,24.4141,-0.2115,1,1.3876
Camp,3,1,0.8192,1.2288,9,10.9863,0.0895,0.9542,1.0409
Camp,3,1,1.6384,2.4576,5,3.0518,0.3905,0.699,0.4846
Camp,3,1,3.2768,4.9152,3,0.9155,0.6915,0.4771,-0.0383
Camp,3,1,52.4288,78.6432,0.0029,0.0001,1.8957,-2.5445,-4.2641
Camp,3,2,104.8576,157.2864,0.0048,0,2.1967,-2.3226,-4.3432
Camp,3,2,209.7152,314.5728,0.0167,0.0001,2.4977,-1.7786,-4.1002
Camp,3,2,419.4304,629.1456,0.0276,0.0001,2.7988,-1.5592,-4.1819
Camp,3,2,838.8608,1258.29,0.0057,0,3.0998,-2.2435,-5.1671
Camp,3,2,1677.72,2516.58,0.0048,0,3.4008,-2.3226,-5.5474
Camp,3,2,3355.44,5033.16,0.0019,0,3.7018,-2.7206,-6.2463
Camp,3,2,6710.89,10066.33,0.0014,0,4.0029,-2.8455,-6.6723
Camp,3,2,13421.77,20132.66,0.001,0,4.3039,-3.0216,-7.1494
Camp,3,2,26843.55,40265.32,0.0043,0,4.6049,-2.3684,-6.7972
Camp,3,2,53687.09,80530.64,0.0019,0,4.906,-2.7206,-7.4504
Slaunch,3,1,0.0064,0.0096,27,4218.75,-2.0177,1.4314,3.6252
Slaunch,3,1,0.0128,0.0192,30,2343.75,-1.7167,1.4771,3.3699
Slaunch,3,1,0.0256,0.0384,97,3789.0625,-1.4157,1.9868,3.5785
Slaunch,3,1,0.0512,0.0768,50,976.5625,-1.1146,1.699,2.9897
Slaunch,3,1,0.1024,0.1536,42,410.1563,-0.8136,1.6232,2.6129
Slaunch,3,1,0.2048,0.3072,30,146.4844,-0.5126,1.4771,2.1658
Slaunch,3,1,0.4096,0.6144,18,43.9453,-0.2115,1.2553,1.6429
Slaunch,3,1,0.8192,1.2288,20,24.4141,0.0895,1.301,1.3876
Slaunch,3,1,1.6384,2.4576,3,1.8311,0.3905,0.4771,0.2627
Slaunch,3,1,13.1072,19.6608,1,0.0763,1.2936,0,-1.1175
Slaunch,3,1,52.4288,78.6432,0.0717,0.0014,1.8957,-1.1447,-2.8642
Slaunch,3,2,104.8576,157.2864,0.0908,0.0009,2.1967,-1.042,-3.0626
Slaunch,3,2,209.7152,314.5728,0.0564,0.0003,2.4977,-1.2489,-3.5705
Slaunch,3,2,419.4304,629.1456,0.0736,0.0002,2.7988,-1.1332,-3.7559
Slaunch,3,2,838.8608,1258.29,0.0764,0.0001,3.0998,-1.1166,-4.0403
Slaunch,3,2,1677.72,2516.58,0.0234,0,3.4008,-1.6306,-4.8553
Slaunch,3,2,3355.44,5033.16,0.0162,0,3.7018,-1.7893,-5.315
Slaunch,3,2,6710.89,10066.33,0.0053,0,4.0029,-2.2794,-6.1062
Slaunch,3,2,26843.55,40265.32,0.0005,0,4.6049,-3.3208,-7.7496
Cabin,5,1,0.0064,0.0096,40,6250,-2.0177,1.6021,3.7959
Cabin,5,1,0.0128,0.0192,35,2734.375,-1.7167,1.5441,3.4369
Cabin,5,1,0.0256,0.0384,54,2109.375,-1.4157,1.7324,3.3242
Cabin,5,1,0.0512,0.0768,49,957.0313,-1.1146,1.6902,2.9809
Cabin,5,1,0.1024,0.1536,51,498.0469,-0.8136,1.7076,2.6973
Cabin,5,1,0.2048,0.3072,41,200.1953,-0.5126,1.6128,2.3015
Cabin,5,1,0.4096,0.6144,8,19.5313,-0.2115,0.9031,1.2907
Cabin,5,1,0.8192,1.2288,4,4.8828,0.0895,0.6021,0.6887
Cabin,5,1,1.6384,2.4576,3,1.8311,0.3905,0.4771,0.2627
Cabin,5,1,3.2768,4.9152,7,2.1362,0.6915,0.8451,0.3296
Cabin,5,1,6.5536,9.8304,2,0.3052,0.9926,0.301,-0.5154
Cabin,5,1,13.1072,19.6608,1,0.0763,1.2936,0,-1.1175
Cabin,5,1,52.4288,78.6432,0.0036,0.0001,1.8957,-2.4381,-4.1577
Cabin,5,2,104.8576,157.2864,0.0027,0,2.1967,-2.5631,-4.5837
Cabin,5,2,209.7152,314.5728,0.0027,0,2.4977,-2.5631,-4.8847
Cabin,5,2,419.4304,629.1456,0.0137,0,2.7988,-1.8641,-4.4868
Cabin,5,2,838.8608,1258.29,0.0119,0,3.0998,-1.9263,-4.85
Cabin,5,2,1677.72,2516.58,0.0073,0,3.4008,-2.1371,-5.3618
Cabin,5,2,3355.44,5033.16,0.0046,0,3.7018,-2.3412,-5.867
Cabin,5,2,6710.89,10066.33,0.0036,0,4.0029,-2.4381,-6.2649
Cabin,5,2,13421.77,20132.66,0.0009,0,4.3039,-3.0402,-7.168
Cabin,5,2,26843.55,40265.32,0.0009,0,4.6049,-3.0402,-7.469
Camp,5,1,0.0064,0.0096,42,6562.5,-2.0177,1.6232,3.8171
Camp,5,1,0.0128,0.0192,41,3203.125,-1.7167,1.6128,3.5056
Camp,5,1,0.0256,0.0384,81,3164.0625,-1.4157,1.9085,3.5002
Camp,5,1,0.0512,0.0768,35,683.5938,-1.1146,1.5441,2.8348
Camp,5,1,0.1024,0.1536,44,429.6875,-0.8136,1.6435,2.6332
Camp,5,1,0.2048,0.3072,33,161.1328,-0.5126,1.5185,2.2072
Camp,5,1,0.4096,0.6144,27,65.918,-0.2115,1.4314,1.819
Camp,5,1,0.8192,1.2288,13,15.8691,0.0895,1.1139,1.2006
Camp,5,1,1.6384,2.4576,9,5.4932,0.3905,0.9542,0.7398
Camp,5,1,3.2768,4.9152,6,1.8311,0.6915,0.7782,0.2627
Camp,5,1,13.1072,19.6608,1,0.0763,1.2936,0,-1.1175
Camp,5,1,52.4288,78.6432,0.0029,0.0001,1.8957,-2.5445,-4.2641
Camp,5,2,104.8576,157.2864,0.0052,0,2.1967,-2.2812,-4.3018
Camp,5,2,209.7152,314.5728,0.0285,0.0001,2.4977,-1.5445,-3.8661
Camp,5,2,419.4304,629.1456,0.0461,0.0001,2.7988,-1.3359,-3.9585
Camp,5,2,838.8608,1258.29,0.0319,0,3.0998,-1.4966,-4.4202
Camp,5,2,1677.72,2516.58,0.0105,0,3.4008,-1.9802,-5.2049
Camp,5,2,3355.44,5033.16,0.0067,0,3.7018,-2.1765,-5.7023
Camp,5,2,6710.89,10066.33,0.0019,0,4.0029,-2.7206,-6.5474
Camp,5,2,13421.77,20132.66,0.0014,0,4.3039,-2.8455,-6.9733
Camp,5,2,26843.55,40265.32,0.0019,0,4.6049,-2.7206,-7.1494
Slaunch,5,1,0.0064,0.0096,64,10000,-2.0177,1.8062,4
Slaunch,5,1,0.0128,0.0192,28,2187.5,-1.7167,1.4472,3.3399
Slaunch,5,1,0.0256,0.0384,363,14179.6875,-1.4157,2.5599,4.1517
Slaunch,5,1,0.0512,0.0768,87,1699.2188,-1.1146,1.9395,3.2302
Slaunch,5,1,0.1024,0.1536,73,712.8906,-0.8136,1.8633,2.853
Slaunch,5,1,0.2048,0.3072,36,175.7813,-0.5126,1.5563,2.245
Slaunch,5,1,0.4096,0.6144,17,41.5039,-0.2115,1.2304,1.6181
Slaunch,5,1,0.8192,1.2288,14,17.0898,0.0895,1.1461,1.2327
Slaunch,5,1,1.6384,2.4576,15,9.1553,0.3905,1.1761,0.9617
Slaunch,5,1,3.2768,4.9152,5,1.5259,0.6915,0.699,0.1835
Slaunch,5,1,52.4288,78.6432,0.0072,0.0001,1.8957,-2.1447,-3.8642
Slaunch,5,2,104.8576,157.2864,0.0846,0.0008,2.1967,-1.0728,-3.0934
Slaunch,5,2,209.7152,314.5728,0.1242,0.0006,2.4977,-0.9058,-3.2274
Slaunch,5,2,419.4304,629.1456,0.1701,0.0004,2.7988,-0.7693,-3.392
Slaunch,5,2,838.8608,1258.29,0.2054,0.0002,3.0998,-0.6873,-3.611
Slaunch,5,2,1677.72,2516.58,0.0583,0,3.4008,-1.2344,-4.4591
Slaunch,5,2,3355.44,5033.16,0.033,0,3.7018,-1.4819,-5.0077
Slaunch,5,2,6710.89,10066.33,0.0076,0,4.0029,-2.1166,-5.9434
Slaunch,5,2,13421.77,20132.66,0.0048,0,4.3039,-2.3208,-6.4486
Slaunch,5,2,26843.55,40265.32,0.0005,0,4.6049,-3.3208,-7.7496
Slaunch,5,2,53687.09,80530.64,0.0005,0,4.906,-3.3208,-8.0506
Cabin,8,1,0.0064,0.0096,3,468.75,-2.0177,0.4771,2.6709
Cabin,8,1,0.0256,0.0384,2,78.125,-1.4157,0.301,1.8928
Cabin,8,1,0.0512,0.0768,2,39.0625,-1.1146,0.301,1.5918
Cabin,8,1,0.1024,0.1536,4,39.0625,-0.8136,0.6021,1.5918
Cabin,8,1,0.2048,0.3072,4,19.5313,-0.5126,0.6021,1.2907
Cabin,8,1,0.4096,0.6144,2,4.8828,-0.2115,0.301,0.6887
Cabin,8,1,3.2768,4.9152,3,0.9155,0.6915,0.4771,-0.0383
Cabin,8,1,52.4288,78.6432,0.003,0.0001,1.8957,-2.5165,-4.2361
Cabin,8,2,104.8576,157.2864,0.0015,0,2.1967,-2.8176,-4.8382
Cabin,8,2,209.7152,314.5728,0.0091,0,2.4977,-2.0394,-4.361
Cabin,8,2,419.4304,629.1456,0.0122,0,2.7988,-1.9145,-4.5371
Cabin,8,2,838.8608,1258.29,0.0259,0,3.0998,-1.5871,-4.5108
Cabin,8,2,1677.72,2516.58,0.0411,0,3.4008,-1.3862,-4.6109
Cabin,8,2,3355.44,5033.16,0.0365,0,3.7018,-1.4374,-4.9631
Cabin,8,2,6710.89,10066.33,0.0289,0,4.0029,-1.5388,-5.3656
Cabin,8,2,13421.77,20132.66,0.003,0,4.3039,-2.5165,-6.6443
Camp,8,1,0.0064,0.0096,19,2968.75,-2.0177,1.2788,3.4726
Camp,8,1,0.0128,0.0192,9,703.125,-1.7167,0.9542,2.847
Camp,8,1,0.0256,0.0384,23,898.4375,-1.4157,1.3617,2.9535
Camp,8,1,0.0512,0.0768,24,468.75,-1.1146,1.3802,2.6709
Camp,8,1,0.1024,0.1536,25,244.1406,-0.8136,1.3979,2.3876
Camp,8,1,0.2048,0.3072,34,166.0156,-0.5126,1.5315,2.2201
Camp,8,1,0.4096,0.6144,15,36.6211,-0.2115,1.1761,1.5637
Camp,8,1,0.8192,1.2288,6,7.3242,0.0895,0.7782,0.8648
Camp,8,1,1.6384,2.4576,5,3.0518,0.3905,0.699,0.4846
Camp,8,1,3.2768,4.9152,2,0.6104,0.6915,0.301,-0.2144
Camp,8,1,6.5536,9.8304,2,0.3052,0.9926,0.301,-0.5154
Camp,8,1,52.4288,78.6432,0.0081,0.0002,1.8957,-2.0922,-3.8118
Camp,8,2,104.8576,157.2864,0.0404,0.0004,2.1967,-1.3932,-3.4138
Camp,8,2,209.7152,314.5728,0.0542,0.0003,2.4977,-1.2657,-3.5874
Camp,8,2,419.4304,629.1456,0.1175,0.0003,2.7988,-0.9299,-3.5526
Camp,8,2,838.8608,1258.29,0.0238,0,3.0998,-1.6237,-4.5474
Camp,8,2,1677.72,2516.58,0.0219,0,3.4008,-1.6599,-4.8846
Camp,8,2,3355.44,5033.16,0.0052,0,3.7018,-2.2812,-5.807
Camp,8,2,6710.89,10066.33,0.0014,0,4.0029,-2.8455,-6.6723
Camp,8,2,13421.77,20132.66,0.0005,0,4.3039,-3.3226,-7.4504
Slaunch,8,1,0.0064,0.0096,19,2968.75,-2.0177,1.2788,3.4726
Slaunch,8,1,0.0128,0.0192,25,1953.125,-1.7167,1.3979,3.2907
Slaunch,8,1,0.0256,0.0384,12,468.75,-1.4157,1.0792,2.6709
Slaunch,8,1,0.0512,0.0768,12,234.375,-1.1146,1.0792,2.3699
Slaunch,8,1,0.1024,0.1536,10,97.6563,-0.8136,1,1.9897
Slaunch,8,1,0.2048,0.3072,14,68.3594,-0.5126,1.1461,1.8348
Slaunch,8,1,0.4096,0.6144,3,7.3242,-0.2115,0.4771,0.8648
Slaunch,8,1,0.8192,1.2288,4,4.8828,0.0895,0.6021,0.6887
Slaunch,8,1,1.6384,2.4576,4,2.4414,0.3905,0.6021,0.3876
Slaunch,8,1,3.2768,4.9152,1,0.3052,0.6915,0,-0.5154
Slaunch,8,1,6.5536,9.8304,1,0.1526,0.9926,0,-0.8165
Slaunch,8,1,13.1072,19.6608,1,0.0763,1.2936,0,-1.1175
Slaunch,8,1,52.4288,78.6432,0.0162,0.0003,1.8957,-1.7893,-3.5089
Slaunch,8,2,104.8576,157.2864,0.021,0.0002,2.1967,-1.6773,-3.6979
Slaunch,8,2,209.7152,314.5728,0.0831,0.0004,2.4977,-1.0802,-3.4018
Slaunch,8,2,419.4304,629.1456,0.118,0.0003,2.7988,-0.9281,-3.5507
Slaunch,8,2,838.8608,1258.29,0.0874,0.0001,3.0998,-1.0583,-3.982
Slaunch,8,2,1677.72,2516.58,0.0263,0,3.4008,-1.5804,-4.8051
Slaunch,8,2,3355.44,5033.16,0.0177,0,3.7018,-1.7526,-5.2783
Slaunch,8,2,6710.89,10066.33,0.0072,0,4.0029,-2.1447,-5.9715
Slaunch,8,2,13421.77,20132.66,0.0048,0,4.3039,-2.3208,-6.4486
Cabin,10,1,0.0064,0.0096,1,156.25,-2.0177,0,2.1938
Cabin,10,1,0.0128,0.0192,5,390.625,-1.7167,0.699,2.5918
Cabin,10,1,0.0256,0.0384,6,234.375,-1.4157,0.7782,2.3699
Cabin,10,1,0.0512,0.0768,4,78.125,-1.1146,0.6021,1.8928
Cabin,10,1,0.1024,0.1536,4,39.0625,-0.8136,0.6021,1.5918
Cabin,10,1,0.2048,0.3072,4,19.5313,-0.5126,0.6021,1.2907
Cabin,10,1,0.4096,0.6144,7,17.0898,-0.2115,0.8451,1.2327
Cabin,10,1,1.6384,2.4576,2,1.2207,0.3905,0.301,0.0866
Cabin,10,1,3.2768,4.9152,6,1.8311,0.6915,0.7782,0.2627
Cabin,10,1,52.4288,78.6432,0.0122,0.0002,1.8957,-1.9145,-3.634
Cabin,10,2,104.8576,157.2864,0.0107,0.0001,2.1967,-1.9725,-3.9931
Cabin,10,2,419.4304,629.1456,0.0183,0,2.7988,-1.7384,-4.361
Cabin,10,2,838.8608,1258.29,0.0335,0,3.0998,-1.4751,-4.3988
Cabin,10,2,1677.72,2516.58,0.0304,0,3.4008,-1.5165,-4.7413
Cabin,10,2,3355.44,5033.16,0.0137,0,3.7018,-1.8633,-5.3891
Cabin,10,2,6710.89,10066.33,0.0061,0,4.0029,-2.2155,-6.0423
Cabin,10,2,13421.77,20132.66,0.003,0,4.3039,-2.5165,-6.6443
Camp,10,1,0.0064,0.0096,8,1250,-2.0177,0.9031,3.0969
Camp,10,1,0.0128,0.0192,7,546.875,-1.7167,0.8451,2.7379
Camp,10,1,0.0256,0.0384,10,390.625,-1.4157,1,2.5918
Camp,10,1,0.0512,0.0768,4,78.125,-1.1146,0.6021,1.8928
Camp,10,1,0.1024,0.1536,10,97.6563,-0.8136,1,1.9897
Camp,10,1,0.2048,0.3072,8,39.0625,-0.5126,0.9031,1.5918
Camp,10,1,0.4096,0.6144,4,9.7656,-0.2115,0.6021,0.9897
Camp,10,1,0.8192,1.2288,1,1.2207,0.0895,0,0.0866
Camp,10,1,3.2768,4.9152,3,0.9155,0.6915,0.4771,-0.0383
Camp,10,1,6.5536,9.8304,2,0.3052,0.9926,0.301,-0.5154
Camp,10,1,52.4288,78.6432,0.0081,0.0002,1.8957,-2.0922,-3.8118
Camp,10,2,104.8576,157.2864,0.0366,0.0003,2.1967,-1.4361,-3.4567
Camp,10,2,209.7152,314.5728,0.0133,0.0001,2.4977,-1.8755,-4.1971
Camp,10,2,419.4304,629.1456,0.0057,0,2.7988,-2.2435,-4.8661
Camp,10,2,838.8608,1258.29,0.0105,0,3.0998,-1.9802,-4.9039
Camp,10,2,1677.72,2516.58,0.0095,0,3.4008,-2.0216,-5.2463
Camp,10,2,3355.44,5033.16,0.001,0,3.7018,-3.0216,-6.5474
Camp,10,2,6710.89,10066.33,0.0005,0,4.0029,-3.3226,-7.1494
Slaunch,10,1,0.0064,0.0096,7,1093.75,-2.0177,0.8451,3.0389
Slaunch,10,1,0.0128,0.0192,7,546.875,-1.7167,0.8451,2.7379
Slaunch,10,1,0.0256,0.0384,27,1054.6875,-1.4157,1.4314,3.0231
Slaunch,10,1,0.0512,0.0768,21,410.1563,-1.1146,1.3222,2.6129
Slaunch,10,1,0.1024,0.1536,15,146.4844,-0.8136,1.1761,2.1658
Slaunch,10,1,0.2048,0.3072,25,122.0703,-0.5126,1.3979,2.0866
Slaunch,10,1,0.4096,0.6144,7,17.0898,-0.2115,0.8451,1.2327
Slaunch,10,1,0.8192,1.2288,7,8.5449,0.0895,0.8451,0.9317
Slaunch,10,1,1.6384,2.4576,4,2.4414,0.3905,0.6021,0.3876
Slaunch,10,1,3.2768,4.9152,3,0.9155,0.6915,0.4771,-0.0383
Slaunch,10,1,52.4288,78.6432,0.1056,0.002,1.8957,-0.9764,-2.6959
Slaunch,10,2,104.8576,157.2864,0.2059,0.002,2.1967,-0.6863,-2.7069
Slaunch,10,2,209.7152,314.5728,0.3383,0.0016,2.4977,-0.4707,-2.7924
Slaunch,10,2,419.4304,629.1456,0.1467,0.0003,2.7988,-0.8336,-3.4563
Slaunch,10,2,838.8608,1258.29,0.042,0.0001,3.0998,-1.3763,-4.3
Slaunch,10,2,1677.72,2516.58,0.0201,0,3.4008,-1.6975,-4.9222
Slaunch,10,2,3355.44,5033.16,0.0096,0,3.7018,-2.0197,-5.5455
Slaunch,10,2,6710.89,10066.33,0.0019,0,4.0029,-2.7187,-6.5455
Slaunch,10,2,13421.77,20132.66,0.0005,0,4.3039,-3.3208,-7.4486
Slaunch,10,2,26843.55,40265.32,0.0005,0,4.6049,-3.3208,-7.7496
